,Body type,Kilometers driven,Transmission type,Number of Owners,Car model,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Color,Turbo Charger,Super Charger,Steering Type,Top Speed,No of doors,Cargo Volumn,City
0,Hatchback,120000,Manual,3,Maruti Celerio,2015,400000.0,Petrol,Third Party insurance,5.0,998.0,23.1,White,No,No,Power,150.0,5,235,bangalore
1,SUV,32706,Manual,2,Ford Ecosport,2018,811000.0,Petrol,Comprehensive,5.0,1497.0,17.0,White,No,No,Power,170.0,4,352,bangalore
2,Hatchback,11949,Manual,1,Tata Tiago,2018,585000.0,Petrol,Comprehensive,5.0,1199.0,23.84,Red,No,No,Power,150.0,5,242,bangalore
3,Sedan,17794,Manual,1,Hyundai Xcent,2014,462000.0,Petrol,Comprehensive,5.0,1197.0,19.1,Others,No,No,Power,172.0,4,407,bangalore
4,SUV,60000,Manual,1,Maruti SX4 S Cross,2015,790000.0,Diesel,Third Party insurance,5.0,1248.0,23.65,Gray,Yes,No,Power,190.0,5,353,bangalore
5,SUV,20000,Manual,1,Jeep Compass,2020,1900000.0,Diesel,Third Party insurance,5.0,1956.0,17.1,Others,Yes,No,Power,170.0,5,408,bangalore
6,Hatchback,37772,Manual,1,Datsun GO,2017,345000.0,Petrol,Comprehensive,5.0,1198.0,20.63,Grey,No,No,Power,150.0,5,265,bangalore
7,SUV,30000,Automatic,1,Hyundai Venue,2021,1200000.0,Petrol,Third Party insurance,5.0,998.0,18.15,Others,Yes,No,Power,170.0,5,350,bangalore
8,Sedan,37000,Automatic,1,Maruti Ciaz,2018,960000.0,Petrol,Comprehensive,5.0,1462.0,20.28,Maroon,No,No,Power,170.0,4,510,bangalore
9,Hatchback,11949,Manual,1,Tata Tiago,2017,585000.0,Petrol,Comprehensive,5.0,1199.0,23.84,Red,No,No,Power,150.0,5,242,bangalore
10,Hatchback,50000,Manual,1,Maruti Baleno,2018,690000.0,Petrol,Third Party insurance,5.0,1197.0,21.4,Red,No,No,Power,180.0,5,339,bangalore
11,Hatchback,24887,Automatic,1,Hyundai Grand i10,2019,682000.0,Petrol,Third Party insurance,5.0,1197.0,18.9,Orange,No,No,Power,165.0,5,256,bangalore
