,it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,heading,bottomData,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,heading,commonIcon,Engine,Max Power,Mileage,Seats,Torque,Wheel Size,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Value Configuration,Super Charger,Turning Radius,Top Speed,Acceleration,Gross Weight,Front Tread,Rear Tread,BoreX Stroke,Compression Ratio,Ground Clearance Unladen,City
0,0,Diesel,SUV,"10,000",Automatic,1,1st Owner,Kia,Kia Seltos,2022,7121,GTX Plus Diesel AT,₹ 19 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1493 cc,Diesel,Third Party insurance,"10,000 Kms",First Owner,,2022,5 Seats,Automatic,2022,Specifications,,1493 CC,113.43bhp,18 kmpl,5,250Nm,17,Gray,1.5 L CRDi VGT,1493,113.43bhp@4000rpm,250Nm@1500-2750rpm,4.0,4.0,CRDi,Yes,4315mm,1800mm,1645mm,2610mm,1540,6-Speed,FWD,5,Electric,Disc,Disc,"Tubeless, Radial",17,5,433,,,,,,,,,,,,delhi
1,0,Petrol,SUV,"57,437",Manual,2,2nd Owner,Hyundai,Hyundai Creta,2016,1449,1.6 VTVT S,₹ 7.62 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1591 cc,Petrol,Zero Dep,"57,437 Kms",Second Owner,HR51,May 2016,5 Seats,Manual,2016,Specifications,,1591 CC,121.3bhp,15.29 kmpl,5,151Nm,,White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,MPFI,No,4270mm,1780mm,1630mm,2590mm,"1,310",6 Speed,FWD,5,Power,Disc,Drum,Tubeless,,5,400-litres,DOHC,No,5.3 metres,165 Kmph,10.5 Seconds,,,,,,,delhi
2,0,Petrol,SUV,"8,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz GLC,2020,6837,200,₹ 56 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1991 cc,Petrol,Comprehensive,"8,000 Kms",First Owner,DL01,Dec 2020,5 Seats,Automatic,2020,Specifications,,1991 CC,197bhp,12.74 kmpl,5,320nm,19,Grey,M 264 petrol engine,1991,197bhp@5500-6100rpm,320nm@1650-4000rpm,4.0,4.0,EFI,No,4658mm,1890mm,1644mm,2873mm,1585,9 speed Tronic,AWD,5,Power,Disc,Disc,"Tubeless,Radial",19,5,550-litres,,,,217 Kmph,,2360kg,,,,,,delhi
3,0,Petrol,Hatchback,"28,151",Manual,2,2nd Owner,Maruti,Maruti Swift,2018,10403,VXI,₹ 5.23 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Comprehensive,"28,151 Kms",Second Owner,DL4C,Jan 2019,5 Seats,Manual,2018,Specifications,,1197 CC,88.50bhp,22.38 kmpl,5,113Nm,,Silver,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,3845mm,1735,1530,2450,875-905,5-Speed,,5,Electric,Disc,Drum,"Radial, Tubeless",,5,268,,,4.8,,,1335,1530,1530,,,,delhi
4,0,Petrol,SUV,"60,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,2017,5362,1.6 VTVT E Plus,₹ 7.65 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1591 cc,Petrol,Third Party insurance,"60,000 Kms",First Owner,DL8C,2017,5 Seats,Manual,2017,Specifications,,1591 CC,121.3bhp,15.29 kmpl,5,151Nm,,White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,MPFI,No,4270mm,1780mm,1630mm,2590mm,"1,300",6 Speed,FWD,5,Power,Disc,Drum,Tubeless,,5,400-litres,DOHC,No,5.3 metres,165 Kmph,10.5 Seconds,,,,,,,delhi
5,0,Petrol,SUV,"20,000",Manual,1,1st Owner,Kia,Kia Sonet,2021,8000,HTK Plus BSVI,₹ 8.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Comprehensive,"20,000 Kms",First Owner,DL9X,Jun 2021,5 Seats,Manual,2021,Specifications,,1197 CC,81.86bhp,18.4 kmpl,5,115Nm,,White,SMARTSTREAM G1.2,1197,81.86bhp@6000rpm,115Nm@4200rpm,4.0,4.0,MPI,No,3995mm,1790,1642,2500,1192,5-Speed,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",,5,392,,,,,,,,,,,,delhi
6,0,Cng,Sedan,"42,682",Manual,1,1st Owner,Hyundai,Hyundai Aura,2021,7333,S CNG,₹ 7.08 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,CNG,Third Party,"42,682 Kms",First Owner,UP14,May 2022,5 Seats,Manual,2021,Specifications,,1197 CC,68.05bhp,28 km/kg,5,95.2nm,,White,1.2 l Bi-fuel,1197,68.05bhp@6000rpm,95.2nm@4000rpm,4.0,4.0,,No,3995mm,1680,1520,2450,1090,5-Speed,,5,Electric,Disc,Drum,"Tubeless,Radial",,4,,,,,,,,,,,,,delhi
7,0,Petrol,Hatchback,"44,653",Manual,1,1st Owner,Volkswagen,Volkswagen Polo,2017,1945,1.2 MPI Trendline,₹ 4 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1198 cc,Petrol,Comprehensive,"44,653 Kms",First Owner,DL10,Sept 2017,5 Seats,Manual,2017,Specifications,,1198 CC,74bhp,18.78 kmpl,5,110Nm,,Grey,MPI Petrol Engine,1198,74bhp@5400rpm,110Nm@3000-4300rpm,3.0,4.0,MPFI,No,3971mm,1682mm,1469mm,2469mm,1015Kg,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",,5,280-liters,DOHC,No,4.97 metres,165 kmph,14.2 Seconds,1500Kg,1460mm,1456mm,74.5 x 76.4,10.5:1,,delhi
8,0,Cng,Hatchback,"7,000",Manual,1,1st Owner,Hyundai,Hyundai Grand i10 Nios,2022,10098,Magna CNG,₹ 7.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,CNG,Comprehensive,"7,000 Kms",First Owner,DL3C,Feb 2022,5 Seats,Manual,2022,Specifications,,1197 CC,67.72bhp,,5,95.2Nm,,White,1.2 Bi-Fuel,1197,67.72bhp@6000rpm,95.2Nm@4000rpm,4.0,4.0,,,3815mm,1680mm,1520mm,2450mm,940,5-Speed,,5,Electric,Disc,Drum,"Tubeless, Radial",,4,,,,,,,,,,,,,delhi
9,0,Petrol,Hatchback,"67,823",Manual,1,1st Owner,Maruti,Maruti Baleno,2019,6776,Alpha,₹ 6.63 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party insurance,"67,823 Kms",First Owner,UP16,Nov 2019,5 Seats,Manual,2019,Specifications,,1197 CC,81.80bhp,21.01 kmpl,5,113Nm,R16,White,1.2L VVT Engine,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,MPFI,No,3995mm,1745mm,1510mm,2520mm,865-890,5 Speed,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",R16,5,339-litres,DOHC,No,4.9,,12.36 seconds,1340kg,1505mm,1515mm,,,,delhi
