,it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,heading,bottomData,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,heading,commonIcon,Engine,Max Power,Mileage,Seats,Torque,Wheel Size,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Gross Weight,BoreX Stroke,Compression Ratio,Ground Clearance Unladen,City
0,0,Diesel,Hatchback,"1,20,000",Manual,2,2nd Owner,Hyundai,Hyundai i20,2015,1487,Asta 1.4 CRDi,₹ 5.10 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1396 cc,Diesel,Third Party insurance,"1,20,000 Kms",Second Owner,RJ13,2015,5 Seats,Manual,2015.0,Specifications,,1396 CC,88.73bhp,22.54 kmpl,5,219.7Nm,16,Others,U2 CRDI Diesel Engine,1396,88.73bhp@4000rpm,219.7Nm@1500-2750rpm,4.0,4.0,DOHC,CRDI,Yes,No,3985mm,1734mm,1505mm,2570mm,1505mm,1503mm,1515kg,6 Speed,FWD,5,Power,5.2 metres,Disc,Drum,180 Kmph,11.9 Seconds,Tubeless,16,5,295-litres,,,,,jaipur
1,0,Petrol,Hatchback,"66,951",Manual,1,1st Owner,Maruti,Maruti Swift,2012,10403,VXI,₹ 3.81 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party,"66,951 Kms",First Owner,RJ14,Jan 2012,5 Seats,Manual,2012.0,Specifications,,1197 CC,88.50bhp,22.38 kmpl,5,113Nm,,White,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,3845mm,1735,1530,2450,1530,1530,875-905,5-Speed,,5,Electric,4.8,Disc,Drum,,,"Radial, Tubeless",,5,268,1335,,,,jaipur
2,0,Petrol,Hatchback,"80,000",Automatic,2,2nd Owner,Maruti,Maruti Celerio,2016,3982,VXI AT,₹ 3.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Third Party insurance,"80,000 Kms",Second Owner,RJ14,2016,5 Seats,Automatic,2016.0,Specifications,,998 CC,67.04bhp,23.1 kmpl,5,90Nm,,Others,K10B Engine,998,67.04bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,No,No,3715mm,1635mm,1565mm,2425mm,1420mm,1410mm,840kg,5 Speed ,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,150 Kmph,15.05 Seconds,"Tubeless, Radial",,5,235-litres,1250kg,73 X 82 mm,11.0:1,,jaipur
3,0,Petrol,Hatchback,"44,392",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2017,5602,1.2 Kappa Magna BSIV,₹ 4.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party insurance,"44,392 Kms",First Owner,RJ14,Apr 2017,5 Seats,Manual,2017.0,Specifications,,1197 CC,81.86bhp,18.9 kmpl,5,113.75nm,,Silver,Kappa VTVT Petrol Engine,1197,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,No,No,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,1100,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,165 Kmph,12.9 Seconds,Tubeless,,5,256,,,,,jaipur
4,0,Petrol,Hatchback,"40,000",Automatic,1,1st Owner,Maruti,Maruti Wagon R,2016,4319,AMT VXI,₹ 3.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Third Party insurance,"40,000 Kms",First Owner,RJ14,2016,5 Seats,Automatic,2016.0,Specifications,,998 CC,67bhp,20.51 kmpl,5,90Nm,,Silver,K10B Petrol Engine,998,67bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,,No,No,3599mm,1495mm,1700mm,2400mm,1295mm,1290mm,890kg,5 Speed,FWD,5,Power,4.6 metres,Ventilated Disc,Drum,152 kmph,18.6 Seconds,Tubeless Tyres,,5,180-liters,1350kg,69 x 72 mm,,,jaipur
5,0,Diesel,Sedan,"1,50,000",Manual,2,2nd Owner,Hyundai,Hyundai Verna,2007,1796,CRDi,₹ 1.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1493 cc,Diesel,Third Party insurance,"1,50,000 Kms",Second Owner,,2007,5 Seats,Manual,2007.0,Specifications,,1493 CC,110 ,16.8 kmpl,5,24 ,14,Gray,In-Line Engine,1493,"110 @ 4,000 (PS@rpm)","24 @ 1,900-2,750 (kgm@rpm)",4.0,4.0,DOHC,CRDI,No,No,4310mm,1695mm,1490mm,2500mm,,,1173kg,5 Speed,FWD,5,Power,5.05 m,Ventilated Disc,Disc & Drum,185 kmph,11.2 seconds,"Tubeless,Radial",14,4,352 litres,1650kg,75 x 87 mm,17.8:1,,jaipur
6,0,Petrol,Sedan,"91,771",Manual,2,2nd Owner,Hyundai,Hyundai Xcent,2016,1861,1.2 Kappa S Celebration Edition,₹ 4.89 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Comprehensive,"91,771 Kms",Second Owner,RJ32,Jul 2016,5 Seats,Manual,2016.0,Specifications,,1197 CC,82bhp,19.1 kmpl,5,114Nm,,White,Kappa VTVT Petrol Engine,1197,82bhp@6000rpm,114Nm@4000rpm,4.0,4.0,DOHC,Direct Injection,No,No,3995mm,1660mm,1520mm,2425mm,1479mm,1493mm,1100,5 Speed ,FWD ,5,Power,4.7 metres,Disc ,Drum,172 Kmph,14.2 Seconds,Tubeless,,4,407-litres,,,,,jaipur
7,0,Diesel,Sedan,"90,000",Automatic,1,1st Owner,Skoda,Skoda Superb,2011,3217,Elegance 2.0 TDI CR AT,₹ 4.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1968 cc,Diesel,Third Party insurance,"90,000 Kms",First Owner,RJ14,2011,5 Seats,Automatic,2011.0,Specifications,,1968 CC,138.1bhp,17.2 kmpl,5,320Nm,16,Others,Turbocharged Diesel Engin,1968,138.1bhp@4200rpm,320Nm@1750-2500rpm,4.0,4.0,DOHC,Direct Injection,Yes,No,4838mm,1817mm,1482mm,2761mm,,,1608kg,6 Speed,FWD,5,Power,5.4 metres,Disc,Disc,,,"Tubeless,Radial",16,4,565-litres,2124kg,,,,jaipur
8,0,Diesel,SUV,"58,621",Automatic,1,1st Owner,BMW,BMW X1,2014,345,sDrive20d,₹ 13.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1995 cc,Diesel,Comprehensive,"58,621 Kms",First Owner,DL02,Sept 2014,5 Seats,Automatic,2014.0,Specifications,,1995 CC,184bhp,17.05 kmpl,5,380Nm,17,Brown,sDrive20d Diesel Engine,1995,184bhp@4000rpm,380Nm@1750-2750rpm,4.0,4.0,,CRDi,Yes,No,4477mm,2058mm,1545mm,2760mm,1501mm,1529mm,1485,8-Speed ,RWD,5,Power,5.8 metres,Ventilated Discs,Ventilated Discs,205 Kmph,7.9 Seconds,"Tubeless,Radial",17,5,420-litres,,,,,jaipur
9,0,Diesel,Sedan,"90,000",Automatic,1,1st Owner,Skoda,Skoda Superb,2011,3217,Elegance 2.0 TDI CR AT,₹ 4.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1968 cc,Diesel,Third Party insurance,"90,000 Kms",First Owner,RJ14,2011,5 Seats,Automatic,2011.0,Specifications,,1968 CC,138.1bhp,17.2 kmpl,5,320Nm,16,Others,Turbocharged Diesel Engin,1968,138.1bhp@4200rpm,320Nm@1750-2500rpm,4.0,4.0,DOHC,Direct Injection,Yes,No,4838mm,1817mm,1482mm,2761mm,,,1608kg,6 Speed,FWD,5,Power,5.4 metres,Disc,Disc,,,"Tubeless,Radial",16,4,565-litres,2124kg,,,,jaipur
